input_text,target_latex
sinx,\sin(x)
sin x,\sin(x)
SINx,\sin(x)
sinX,\sin(x)
cosx,\cos(x)
cos x,\cos(x)
COSx,\cos(x)
tanx,\tan(x)
tan x,\tan(x)
sin2,\sin(2)
sin 2,\sin(2)
sin2,\sin^{2}(\theta)
sin^2,\sin^{2}(\theta)
sin2x,\sin(2x)
sin 2x,\sin(2x)
sin2x,\sin^{2}(x)
sinx2,\sin^{2}(x)
cos3x,\cos(3x)
cos3x,\cos^{3}(x)
cos x3,\cos^{3}(x)
tan4,\tan(4)
tan 4,\tan(4)
sin-1x,\sin^{-1}(x)
sin^-1x,\sin^{-1}(x)
arcsinx,\sin^{-1}(x)
sin-1,\sin^{-1}(x)
sin^-1,\sin^{-1}(x)
sin -1,\sin^{-1}(x)
sin^-1 x,\sin^{-1}(x)
sin -1 x,\sin^{-1}(x)
sinx-1,\sin^{-1}(x)
sinx -1,\sin^{-1}(x)
sin x-1,\sin^{-1}(x)
sin x -1,\sin^{-1}(x)
cos-1x,\cos^{-1}(x)
cos^-1x,\cos^{-1}(x)
arccosx,\cos^{-1}(x)
cos-1,\cos^{-1}(x)
cos^-1,\cos^{-1}(x)
cos -1,\cos^{-1}(x)
cos^-1 x,\cos^{-1}(x)
cos -1 x,\cos^{-1}(x)
cosx-1,\cos^{-1}(x)
cosx -1,\cos^{-1}(x)
cos x-1,\cos^{-1}(x)
cos x -1,\cos^{-1}(x)
tan-1x,\tan^{-1}(x)
tan^-1x,\tan^{-1}(x)
arctanx,\tan^{-1}(x)
tan-1,\tan^{-1}(x)
tan^-1,\tan^{-1}(x)
tan -1,\tan^{-1}(x)
tan^-1 x,\tan^{-1}(x)
tan -1 x,\tan^{-1}(x)
tanx-1,\tan^{-1}(x)
tanx -1,\tan^{-1}(x)
tan x-1,\tan^{-1}(x)
tan x -1,\tan^{-1}(x)
sin(x+1),\sin(x+1)
sinx+1,\sin(x+1)
cos2x+1,\cos(2x+1)
cos(2x+1),\cos(2x+1)
sin30,\sin(30^\circ)
cos60,\cos(60^\circ)
tan45,\tan(45^\circ)
30o,30^\circ
45 o,45^\circ
o,^\circ
sin30+cos60,\sin(30^\circ)+\cos(60^\circ)
sin45-cos30,\sin(45^\circ)-\cos(30^\circ)
log23,\log_{23}
log23,\log_{2}(3)
sinx=1/2,\sin(x)=\frac{1}{2}
cos2x=0,\cos(2x)=0
tanx=1,\tan(x)=1
solve sin2x = 1,\sin(2x)=1
find cosx = 0,\cos(x)=0
evaluate tan45,\tan(45^\circ)
sinx sinx,\sin(x)\sin(x)
sin^2x,\sin^{2}(x)
(sinx)2,\sin^{2}(x)
sin(x)^2,\sin^{2}(x)
cos(x)^2,\cos^{2}(x)
sinxcosx,\sin(x)\cos(x)
2sinx,2\sin(x)
3cosx,3\cos(x)
sinx/2,\frac{\sin(x)}{2}
sin(x)/2,\frac{\sin(x)}{2}
sinx-1,\sin(x)-1
sinx-1,\sin^{-1}(x)
sin2x,\sin(2x)
sin 2x,\sin(2x)
sin(2x),\sin(2x)
sin 2 x,\sin(2x)
sin2 x,\sin(2x)
sin2(x),\sin(2x)
sinx2,\sin(x^2)
sinx^2,\sin(x^2)
sin x2,\sin(x^2)
sinx 2,\sin(x^2)
sin2,\sin(2)
sin 2,\sin(2)
sin(2),\sin(2)
sinx,\sin(x)
sin x,\sin(x)
sin(x),\sin(x)
sinx-1,\sin(x^{-1})
sin x-1,\sin(x^{-1})
sinx -1,\sin(x^{-1})
sin-1x,\sin^{-1}(x)
sin-1 x,\sin^{-1}(x)
sin(-1)x,\sin^{-1}(x)
sin30,\sin(30^\circ)
sin 30,\sin(30^\circ)
sin30°,\sin(30^\circ)
sin 30°,\sin(30^\circ)
sin-30,\sin(-30^\circ)
sin -30,\sin(-30^\circ)
sin-30°,\sin(-30^\circ)
sin30.5,\sin(30.5^\circ)
sin 30.5,\sin(30.5^\circ)
sinx+30,\sin(x+30^\circ)
sin(x+30),\sin(x+30^\circ)
sinx +30,\sin(x+30^\circ)
sinx/2,\sin\left(\frac{x}{2}\right)
sin(x/2),\sin\left(\frac{x}{2}\right)
cos2x,\cos(2x)
cos 2x,\cos(2x)
cos(2x),\cos(2x)
cos2 x,\cos(2x)
cos2,\cos(2)
cos 2,\cos(2)
cos(2),\cos(2)
cosx2,\cos(x^2)
cosx^2,\cos(x^2)
cos x2,\cos(x^2)
cosx-1,\cos(x^{-1})
cosx -1,\cos(x^{-1})
cos-1x,\cos^{-1}(x)
cos-1 x,\cos^{-1}(x)
cos60,\cos(60^\circ)
cos 60,\cos(60^\circ)
cos60°,\cos(60^\circ)
tan2x,\tan(2x)
tan 2x,\tan(2x)
tan(2x),\tan(2x)
tan2,\tan(2)
tan 2,\tan(2)
tanx2,\tan(x^2)
tanx^2,\tan(x^2)
tan-45,\tan(-45^\circ)
tan -45,\tan(-45^\circ)
tan-45°,\tan(-45^\circ)
2sinx,2\sin(x)
2 sinx,2\sin(x)
2sin x,2\sin(x)
sin2x+cosx,\sin(2x)+\cos(x)
sin2x + cosx,\sin(2x)+\cos(x)
sin(2x)+cosx,\sin(2x)+\cos(x)
sinx=1/2,\sin(x)=\frac{1}{2}
sin x =1/2,\sin(x)=\frac{1}{2}
2sinx=1,2\sin(x)=1
2 sin x=1,2\sin(x)=1
tan(x+30)=1,\tan(x+30^\circ)=1
tanx+30=1,\tan(x+30^\circ)=1
sinxcosx,\sin(x)\cos(x)
sinx cosx,\sin(x)\cos(x)
sin(x)cos(x),\sin(x)\cos(x)
